Content ID,en,zh,fr,de,it,ko,pl,ru,es
'TQ3D',"Rocky snow is the same deal as regular snow, except you can't change your direction once you start sliding!",岩石雪和普通雪是一样的，只是一旦你开始滑行就不能改变方向！,"neige Rocky est la même affaire que la neige régulière, sauf que vous ne pouvez pas changer de direction une fois que vous commencez à glisser!","Rocky Schnee ist die gleiche Sache, wie regelmäßige Schnee, außer dass Sie nicht Ihre Richtung ändern können, wenn Sie Schiebe beginnen!","neve Rocky è l'accordo stesso come la neve normale, tranne che non si può cambiare la vostra direzione, una volta che si avvia annoiarvi!","록키 눈은 슬라이딩 시작하면 당신이 당신의 방향을 변경할 수 없습니다 제외하고, 정기적으로 눈과 같은 거래이다!","Rocky śnieg jest taki sam interes jak regularne śniegu, z wyjątkiem nie można zmienić kierunek po uruchomieniu przesuwne!","Rocky снег такой же сделки как обычный снег, за исключением того, вы не можете изменить свое направление, как только вы начинаете скольжение!","nieve Rocky es el mismo acuerdo que la nieve regular, excepto que no se puede cambiar de dirección una vez que comience a resbalar!"
'TQ40',Tutorial - 2D,教程 - 2D,Tutorial - 2D,Tutorial - 2D,Tutorial - 2D,튜토리얼 - 2D,Tutorial - 2D,Учебник - 2D,Tutorial - 2D
'TQ4A',"You'll switch between existing in three dimensions and two dimensions just by touching the mossy brick tile (like how it usually works). Expect everything to be similar to regular ol' 3D mode, but different! Confusing!",你可以站在小石砖地上来切换3D和2D模式（就像平常玩的逃脱大师那样）。希望一切都和普通的3D模式一样，但这个却不同！真令人头大！！,"Vous basculer entre existant en trois dimensions et deux dimensions en touchant la tuile de brique moussue (comme la façon dont cela fonctionne habituellement). Attendez-vous que tout soit similaire au mode 3D « ol régulier, mais différent! Déroutant!","Sie werden Umschalten zwischen nur in drei Dimensionen und zwei Dimensionen bestehenden durch die bemoosten Ziegelplatte berühren (wie, wie es funktioniert in der Regel). Erwarten Sie alles zu 3D-Modus ‚regelmäßige ol ähnlich, aber anders! Verwirrend!","Potrai passare esistente in tre dimensioni e due dimensioni semplicemente toccando la piastrella di muschio mattone (come come di solito funziona). Aspettatevi di tutto per essere simile alla modalità 3D normale ol', ma diverso! Confondere!",당신은 (그것은 일반적으로 어떻게 작동하는지 등) 이끼 벽돌 타일을 터치하여 세 가지 차원과 두 차원에서 기존의 사이를 전환 할 수 있습니다. 모든 일반 팔자 '3D 모드와 유사하지만 서로 다른 것으로 기대! 혼동!,"będziesz przełączać pomiędzy istniejącego w trzech rozmiarach i dwóch wymiarach tylko poprzez dotknięcie płytki cegła omszony (jak zwykle, jak to działa). Oczekiwać, że wszystko będzie podobny do trybu 3D regularne ol”, ale inaczej! Mylące!","Вы переключаться между существующим в трех измерениях и два измерений просто прикасаясь к мшистым кирпичной плитке (например, как это обычно работает). Ожидать, чтобы все было похоже на 3D-режиме регулярных Ol», но по-другому! Заблуждение!","Podrás cambiar entre existiendo en tres dimensiones y dos dimensiones con sólo tocar la baldosa de ladrillo cubierta de musgo (como la forma en que funciona normalmente). Esperar que todo sea similar al modo 3D ol regular', pero diferente! ¡Confuso!"
'TQ4B',"While in the 2D mode, you won't use your mouse at all! Instead use your left and right arrow keys to move, and the up arrow key to jump.",在2D模式下，你完全用不上鼠标！而是使用左右方向键移动、上方向键跳跃,"En mode 2D, vous ne pourrez pas utiliser votre souris tout! Au lieu d'utiliser les touches fléchées gauche et droite pour vous déplacer, et la touche flèche pour sauter.","Während im 2D-Modus, werden Sie nicht verwenden Ihre Maus! Statt der linken und rechten Pfeiltasten zu bewegen und die Pfeiltaste nach oben zu springen.","In modalità 2D, non utilizzerà il mouse a tutti! Invece usare le frecce a destra e sinistra per muoversi, e il tasto freccia su per saltare.","2 차원 모드에있는 동안, 당신은 전혀 마우스를 사용하지 않습니다! 대신 이동 왼쪽 및 오른쪽 화살표 키를 사용하여 위쪽 화살표 키를 이동합니다.","Natomiast w trybie 2D, nie będzie używać myszki w ogóle! Zamiast używać klawiszy strzałek w lewo i prawo, aby przenieść, i klawisz strzałki w górę do skoku.","В то время как в 2D-режиме, вы не будете использовать мышь на всех! Вместо того, чтобы использовать клавиши влево и вправо со стрелками для перемещения и клавишу со стрелкой вверх, чтобы прыгать.","Mientras que en el modo 2D, no tendrá que utilizar el ratón en absoluto! En lugar de utilizar las teclas de flecha izquierda y derecha para mover, y la tecla de flecha hacia arriba para saltar."
'TQ4C',"There are 1 or 2 more differences, but the only important one for now is that touching Lava means sudden/painful death in this mode, and the darkness is now open real-estate for your circular self.",这里有一两个或以上的不同点，但是现在唯一重要的是，这个模式下踩上熔岩等于突然/痛苦的死亡，然而现在你可以在黑暗中乱逛了,"Il y a 1 ou 2 autres différences, mais la seule importante pour est maintenant de toucher des moyens de lave soudaine / mort douloureuse dans ce mode, et l'obscurité est maintenant immobilier ouvert pour votre auto circulaire.","Es gibt 1 oder 2 weitere Unterschiede, aber die einzigen wichtig für ist nun, dass rührend Lava Mittel plötzliche / schmerzhafter Tod in diesem Modus, und die Finsternis für Ihren Kreis selbst jetzt offen real-estate ist.","Ci sono 1 o 2 più le differenze, ma quello è solo importante per ora è che toccare mezzi Lava improvvisa / morte dolorosa in questa modalità, e l'oscurità è ora aperto immobiliare per la vostra auto circolare.","이 1 개 또는 2 이상 차이가 있지만, 지금은 유일하게 중요한 것은 감동 용암 수단 갑자기 / 고통이 모드에서 죽음과 어둠이 당신의 원형 자체 오픈 부동산 지금이다.","Są to 1 lub 2 więcej różnic, ale tylko ważne jest to, że na razie dotykania środki Lava nagły / bolesna śmierć w tym trybie, a ciemność jest teraz otwarty od nieruchomości dla okrągłej siebie.","Есть 1 или 2 больше различий, но важно лишь один сейчас является то, что прикосновение Лавы означает внезапное / мучительная смерть в этом режиме, и темнота теперь открыта по недвижимости для круговых себя.","Hay 1 o 2 más diferencias, pero el que sólo es importante por ahora es que los medios de lava tocar repentino / muerte dolorosa en este modo, y la oscuridad ya está abierto de bienes raíces para su auto circular."
'TQ50',Tutorial - Commands,教程 - 命令,Tutoriel - Commandes,Tutorial - Befehle,Tutorial - Comandi,튜토리얼 - 명령,Tutorial - Polecenia,Учебник - Команды,Tutorial - Comandos
'TQ5A',"Enter any command by typing ""-"" and then the command in game chat! All commands can be entered in any language.",在游戏中的聊天，然后命令 - 通过打字输入任何命令“”！所有命令都可以用任何语言输入。,Saisissez une commande en tapant « - » puis la commande dans le jeu de chat! Toutes les commandes peuvent être saisies dans toutes les langues.,Geben Sie einen beliebigen Befehl durch Eingabe von „-“ und dann den Befehl in Game-Chat! Alle Befehle können in jeder Sprache eingegeben werden.,"Inserire un comando digitando ""-"" e poi il comando nella chat di gioco! Tutti i comandi possono essere inseriti in qualsiasi lingua.","게임 채팅에서 다음 명령을하고 ""-""입력하여 명령을 입력! 모든 명령은 어떤 언어로 입력 할 수 있습니다.","Wpisz dowolne polecenie wpisując „-”, a następnie polecenie w grze czacie! Wszystkie komendy mogą być wprowadzane w dowolnym języku.","Введите любую команду, набрав «-», а затем команду в игровом чате! Все команды можно вводить на любом языке.","Escribe cualquiera de comandos escribiendo ""-"" y luego el comando en el chat del juego! Todos los comandos se pueden introducir en cualquier idioma."
'TQ5B',Immediately set your status to AFK. Setting your status this way has no long-term penalty.,马上设置状态AFK。设置您的状态这种方式有没有长期的处罚。,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'TQ5C',"Switch your language to any other language already supported by EDW. For example, type -English or -Français.",切换语言由EDW已经支持的任何其他语言。例如，键入语 - 或-Français。,"Mettez votre langue à une autre langue déjà pris en charge par EDW. Par exemple, tapez -Anglais ou -Français.",Schalten Sie Ihre Sprache in jede andere Sprache bereits unterstützt von EDW. Geben Sie beispielsweise -Deutsch oder -Français.,"Passare la lingua a qualunque altra lingua già supportata da EDW. Ad esempio, digitare -English o -Français.","이미 EDW가 지원하는 다른 언어로 언어를 전환합니다. 예를 들어, - 영어 또는 -Français를 입력합니다.",Przełączyć swój język do każdego innego języka już obsługiwanych przez EDW. Na przykład wpisz -Angielski lub -Français.,"Переключение языка на любой другой язык уже поддерживается EDW. Так, например, тип -Английского или -Français.","Cambiar el idioma a cualquier otro idioma ya con el apoyo de EDW. Por ejemplo, escriba -Inglés o -Français."
'TQ5D',"You can also enable / disable ""Camera Tracking"" by pressing the escape key! This mode is useful if you have a hard time with ice in general.",您也可以按ESC键开启/关闭“相机跟踪”！如果你有一个很难与一般冰这种模式是非常有用的。,Vous pouvez également activer / désactiver « suivi caméra » en appuyant sur la touche d'échappement! Ce mode est utile si vous avez du mal avec de la glace en général.,"Sie können auch / deaktivieren „Camera Tracking“ aktivieren, indem Sie die Escape-Taste drücken! Dieser Modus ist nützlich, wenn Sie eine harte Zeit mit Eis im Allgemeinen.","È inoltre possibile attivare / disattivare la ""rilevazione telecamera"" premendo il tasto Esc! Questa modalità è utile se si ha un momento difficile con il ghiaccio in generale.","또한 Esc 키를 눌러 / 비활성화 ""카메라 추적""을 활성화 할 수 있습니다! 당신은 일반적으로 얼음 어려움이있는 경우이 모드는 유용합니다.","Można również włączyć / wyłączyć „Camera Tracking”, naciskając klawisz Escape! Tryb ten jest przydatny, jeśli masz trudności z lodem w ogóle.","Вы можете также включить / выключить «Camera Tracking», нажав клавишу выхода! Этот режим полезен, если у вас есть трудное время со льдом в целом.","También puede activar el ""seguimiento de la cámara"" / desactivar pulsando la tecla de escape! Este modo es útil si tiene un tiempo duro con hielo en general."
'CiTS',Solo mode - There can only be one,单人模式 - 只能有一个人,Le mode Solo - Il ne peut être un,Solo-Modus - Es kann nur einen geben,modalità Solo - Non ci può essere un solo,솔로 모드 - 하나있을 수 있습니다,Tryb Solo - Nie może być tylko jeden,Режим Solo - Там может быть только один,el modo Solo - Sólo puede haber una
'CiTs',There can only be one,只能有一个人,Il ne peut y avoir un,Da kann nur einer sein,Ce ne può essere solo uno,하나있을 수 있습니다,Może być tylko jeden,Может быть только один,Solo puede haber uno
'CiTR',Random teams - Check the scoreboard for specifics,随机队伍 - 查看计分板了解详情,équipes au hasard - Vérifiez le tableau de bord pour plus de détails,Zufällige Teams - Überprüfen Sie die Anzeigetafel für Spezifika,squadre casuali - Controllare il tabellone per le specifiche,랜덤 팀 - 세부 사항에 대한 점수 판을 확인,Losowo wybrane zespoły - Sprawdź wynik dla specyfiki,Случайные команды - Проверьте табло для специфических особенностей,equipos al azar - Compruebe el marcador para obtener información específica
'CiTr',Check out the scoreboard for specifics,查看记分牌了解详情,Consultez le tableau de bord pour plus de détails,Überprüfen Sie die Anzeigetafel aus für Einzelheiten,Controlla il tabellone per le specifiche,세부 사항에 대한 점수 판을 확인,Sprawdź wynik dla specyfiki,Проверьте табло для специфических особенностей,Echa un vistazo al marcador para obtener información específica
'CiTO',One team - Get Cozy,一支队伍 - 安逸躺赢,Une équipe - Get Cozy,Ein Team - Get Cosy,Una squadra - Get Cosy,한 팀 - 코지 받기,Jeden zespół - Get Cozy,Одна команда - Get Cozy,Uno de los equipos - Ponte cómodo
'CiTo',Get cozy,安逸躺赢,Mettez-vous à l'aise,Holen Sie sich gemütlich,ottenere accogliente,아늑한 받기,Uzyskaj przytulny,Получить уютный,Ponte cómodo
'CiDE',Easy mode - Have to start somewhere,简单模式 - 总得从哪开始,mode facile - commencer quelque part,Easy-Modus - haben zu Beginn irgendwo,Modalità Easy - devono cominciare da qualche parte,쉬운 모드 - 되세요 어딘가에 시작,Tryb Easy - trzeba zacząć gdzieś,Простой режим - то начать,Modo Fácil - algo hay que empezar
'CiDe',Have to start somewhere,总得从哪开始,Commencer quelque part,Haben Sie irgendwo anfangen,Devono iniziare da qualche parte,어딘가를 시작해야,Trzeba od czegoś zacząć,То начать,Algo hay que empezar
'CiDH',Hard mode - Yikes,困难模式 - 卧槽,Mode Difficile - Aïe,Hard-Modus - Huch,modalità Hard - Yikes,하드 모드 - 이궁,Hard Mode - To jest to,Жесткий режим - Хлоп,el modo difícil - Huy
'CiDh',Yikes,卧槽,beurk,Huch,yikes,이궁,Jezu,Хлоп,uff
'CiDC',"99 and None - Easy Mode, but with 100% more cheats!",99+ - 简单模式，跟开了挂一样！,"99 et None - Mode facile, mais avec 100% de tricheurs!","99 und keine - Easy-Modus, aber mit 100% mehr betrügt!","99 e Nessuno - Easy Mode, ma con il 100% in più di trucchi!","99 없음 - 간편한 모드,하지만 100 % 더 사기꾼에!","99 i None - Easy Mode, ale z 100% więcej oszustów!","не 99 и None - Easy Mode, но с 100% больше читов!","99 y Ninguno - Modo fácil, pero con un 100% más tramposos!"
'CiDc',"Easy Mode, but with 100% more cheats!",简易模式下，但100％以上会开挂！,"Mode facile, mais avec 100% de tricheurs!","Easy-Modus, aber mit 100% mehr betrügt!","Easy Mode, ma con il 100% in più di trucchi!","쉬운 모드,하지만 100 % 더 사기꾼!","Tryb łatwego, ale z 100% więcej oszustów!","Easy Mode, но с 100% больше, читы!","Modo fácil, pero con un 100% más tramposos!"
'CiW1',Welcome,欢迎,Bienvenue,Herzlich willkommen,benvenuto,어서 오십시오,Witamy,Добро пожаловать,Bienvenida
'CiW2',To,来到,À,Zu,Per,에,Do,К,A
'CiW3',Dream World,梦境世界,Monde imaginaire,Traumwelt,dream World,꿈의 세계,Świat marzeń,Мир грез,Mundo de sueños
'CiTA',A new tutorial has been added to your quest log!,一个新的教程已经被添加到你的任务栏里！,Un nouveau tutoriel a été ajouté à votre journal de quête!,Ein neues Tutorial wurde Ihren Questlog hinzugefügt!,Un nuovo tutorial è stato aggiunto alla tua quest log!,새로운 튜토리얼 퀘스트 로그에 추가되었습니다!,Nowy poradnik został dodany do dzienniku questów!,Новый учебник был добавлен в ваш журнал квестов!,Un nuevo tutorial ha sido añadido a su registro de misiones!
'CiO1',"Oh man, I think I mighta had one too many last night",哦天啊，我想我昨晚可能喝多了,"Oh mec, je pense que je pourrais avoir eu un de trop hier soir","Oh Mann, ich glaube, ich könnte eine zu viel gestern Abend gehabt haben","Oh uomo, penso che avrei potuto avere una di troppo ieri sera","사람 아, 나는 너무 많은 지난 밤에 한 것 같아","O człowieku, myślę, że miałem jeden zbyt wiele ostatniej nocy","О людях, я думаю, я мог бы слишком много прошлой ночью","Oh hombre, yo creo que podría haber tenido una copa de más anoche"
'CiO2',Wait...,等等...,Attendre...,Warten...,Aspettare...,기다림...,Czekać...,Ждать...,Esperar...
'CiO3',I'm remembering something...,我想起来了...,Je me souviens de quelque chose ...,Ich erinnere mich an etwas ...,Mi ricordo qualcosa ...,내가 뭔가를 기억 해요 ...,Mam coś pamiętać ...,Я помню что-то ...,Estoy recordando algo ...
'CiO4',"Yeah, okay. You probably shouldn't get near those colorful dragons",啊，对了。你也许不应该离那些五颜六色的龙太近,Ouais ok. Vous ne devriez probablement pas approcher ces dragons colorés,Ja ok. Sie sollten wahrscheinlich nicht in der Nähe dieser bunten Drachen bekommen,"Sì, ok. Probabilmente non dovrebbe ottenere nei pressi di quei draghi colorati","그래, 그래. 당신은 아마 그 화려한 용 가까이하지합니다",Tak ok. Prawdopodobnie nie powinien zbliżyć tych kolorowych smoków,"Да, все в порядке. Вы, вероятно, не должны получить вблизи этих красочных драконов","Si, vale. Es probable que no debe acercarse a esos dragones de colores"
'CiF1',Whoa!,哇！,Whoa!,Whoa!,Whoa!,우와!,Whoa!,Вау!,Whoa!
'CiF2',Better stay clear of that fire,最好离火远点,Mieux vaut rester à l'écart de ce feu,Besser Finger weg von diesem Feuer,Meglio stare chiaro di quel fuoco,화재의 명확한 더 나은 숙박,Lepiej pobyt z dala od tego ognia,Лучше держаться подальше от этого огня,estancia mejor clara de que el fuego
'CiF3',I don't think it likes how you look,我觉得它不喜欢你的长相,Je ne pense pas qu'il aime la façon dont vous regardez,"Ich glaube nicht, es mag, wie Sie aussehen",Non credo che gli piace come si guarda,나는 당신이 어떻게 보면 좋아 생각하지 않는다,"Nie sądzę, że lubi, jak wyglądasz","Я не думаю, что ему нравится, как вы смотрите",Creo que no le gusta cómo se mire
'Cif1',Nice!,太好了！,Joli!,Nett!,Bello!,좋은!,Miły!,Отлично!,¡Lindo!
'Cif2',Your skin's glowing red!,你的皮肤红彤彤的！,Votre peau est rouge éclatante!,Ihre Haut glüht rot!,La pelle è rosso incandescente!,당신의 피부가 빨간색으로 빛나는입니다!,Twoja skóra jest świecące czerwone!,Ваша кожа это светящаяся красная!,Su piel es de color rojo brillante!
'Cif3',I bet you could go through that fire now,我敢赌你现在可以穿过火焰了。,Je parie que vous pourriez passer par le feu maintenant,"Ich wette, Sie durch das Feuer gehen könnte jetzt",Scommetto che si potrebbe passare attraverso quel fuoco ora,난 당신이 지금 불을 통해 갈 수 내기,"Założę się, można przejść przez ten ogień teraz","Я уверен, вы могли бы пройти через этот огонь прямо сейчас",Apuesto a que podría pasar por el fuego que ahora
'Cif4',Everyone knows that the best color is the same color!,大家都知道最好的颜色就是变成一个颜色！,Tout le monde sait que la meilleure couleur est la même couleur!,"Jeder weiß, dass die beste Farbe ist die gleiche Farbe!",Tutti sanno che il colore migliore è dello stesso colore!,모두가 최상의 색상과 동일한 색상인지 알고있다!,"Każdy wie, że najlepiej kolor jest tego samego koloru!","Всем известно, что лучший цвет тот же цвет!",Todo el mundo sabe que el mejor color es el mismo color!
'CiRd',"Hah, classic Red",哈哈，祖国的颜色,"Hah, rouge classique","Hah, klassisches Rot","Hah, classico rosso","하 석, 고전 레드","Hah, klasyczny Czerwony","Хах, классический красный","Hah, clásica roja"
'Ciw1',Wow...,哇...,Wow...,Beeindruckend...,Wow...,와...,Łał...,Вау...,Guau...
'Ciw2',It's like a Special Ed class took a field trip to a Catholic Church,你的速度慢得别人随时都能强上你,Il est comme une classe spéciale Ed a fait un voyage sur le terrain à une Eglise catholique,Es ist wie ein Special Ed Klasse eine Exkursion in eine katholische Kirche nahm,E 'come una classe speciale Ed ha preso una gita a una chiesa cattolica,특별 에드 클래스는 가톨릭 교회에 필드 여행을했다 같아,To jak klasa Special Ed wziął wycieczkę do Kościoła Katolickiego,Это как класс Special Ed съездили поля к католической церкви,Es como una clase de Educación Especial tomó una excursión a una iglesia católica
'CiS1',"I see that you, too, hold a secret passion for the elegant art of figure skating",我同样能看出你对花样滑冰的高雅艺术怀有一种神秘的热情,"Je vois que vous aussi, tenez une passion secrète pour l'art élégant de patinage artistique","Ich sehe, dass Sie auch eine geheime Leidenschaft für die elegante Kunst der Eiskunstlauf halten","Vedo che anche voi, tenete una segreta passione per l'elegante arte del pattinaggio di figura","나는 당신이, 너무, 피겨 스케이팅의 우아한 예술에 대한 비밀 열정을 잡아 볼","Widzę, że ty także posiadać tajne pasję do eleganckiej sztuki łyżwiarstwie figurowym","Я вижу, что ты тоже провести тайную страсть к элегантному искусству фигурного катания","Veo que usted, también, mantiene una pasión secreta por el elegante arte de patinaje artístico"
'CiS2',"Remember to hold your head high, and always face towards your future",记得高昂起头，面对你的未来,"Rappelez-vous de tenir votre tête haute, et toujours faire face à votre avenir","Denken Sie daran, den Kopf hoch zu halten und immer Gesicht in Richtung Ihrer Zukunft","Ricordatevi di tenere la testa alta, e sempre rivolta verso il vostro futuro","머리의 높이를 유지하고, 항상 당신의 미래를 향해 얼굴을 기억","Pamiętaj, aby trzymać głowę wysoko i zawsze zwrócona ku przyszłości","Не забывайте держать свой высокий напор, и всегда обращены к вашему будущему","Recuerde que debe mantener su cabeza en alto, y siempre mirar hacia su futuro"
'CiS3',"There's no stopping, just relentless progress towards that future",这里只能朝着未来不断前进，永不停歇,"Il n'y a pas d'arrêt, tout progrès vers cet avenir sans relâche","Es gibt kein Halten mehr, nur unerbittlich Fortschritte in Richtung dieser Zukunft","Non c'è nessun arresto, proprio inarrestabile progresso verso quel futuro","더 중지, 미래를 향한 단지 끊임없는 발전은 없다","Nie ma zatrzymanie, tylko bezwzględny postęp w kierunku tej przyszłości","Там нет остановки, только неумолимый прогресса на пути к этому будущему","No hay parada, justo marcha forzada que en el futuro"
'CiS4',"Keep track of yourself using the arrow keys or mouse, or press the 'escape' key",记得用方向键或鼠标追踪自己的角色，或按ESC键,"Gardez une trace de vous-même à l'aide des touches fléchées ou la souris, ou appuyez sur la touche « escape »","Behalten Sie sich mit den Pfeiltasten oder der Maus, oder drücken Sie die ‚Escape‘ -Taste","Tenere traccia di se stessi utilizzando i tasti freccia o il mouse, o premere il tasto 'fuga'","화살표 키 또는 마우스, 또는를 눌러 '탈출'키를 사용하여 자신을 계속 추적",Śledzić siebie za pomocą klawiszy strzałek lub myszy lub nacisnąć klawisz „escape”,"Следите за себя с помощью клавиш со стрелками или мышь, или нажмите клавишу «побег»","No perder de vista a sí mismo usando las teclas de flecha o el ratón, o pulsar la tecla 'escapar'"
'CiC1',Another one of these shimmering portals...,又是一个发光的传送门...,Un autre de ces portails chatoyantes ...,Ein anderer dieser schimmernden Portale ...,Un altro uno di questi portali luccicanti ...,이 반짝이는 포털의 또 다른 하나 ...,Jeszcze jeden z tych portali połyskujące ...,Еще один из этих мерцающих порталов ...,Otro de estos portales brillantes ...
'CiC2',"Stepping over them seems to give you a checkpoint, and brings your friends back to life",站上那里似乎会给你一个检查点，并让你的朋友们复活,"Enjambant leur semble vous donner un point de contrôle, et apporte vos amis à la vie","Stepping über ihnen scheint, dass Sie einen Kontrollpunkt zu geben, und bringt Ihre Freunde zum Leben zurück","Facendo un passo su di loro sembra dare un posto di blocco, e porta i tuoi amici Back to Life","그들을 스테핑 당신에게 체크 포인트를주는 것, 그리고 친구들이 생활에 백업 제공",Depcząc po nich wydaje się daje punkt kontrolny i przynosi znajomych z powrotem do życia,"Перешагнув через них, кажется, дает вам контрольно-пропускной пункт, и приносит своих друзей вернуться к жизни","Pasando por encima de ellos parece darle un puesto de control, y trae a sus amigos de vuelta a la vida"
'CiC3',But are they the same friends?,但他们是同一个朋友吗？,Mais sont-ils les mêmes amis?,Aber sind sie die gleichen Freunde?,Ma sono gli stessi amici?,그러나 그들은 같은 친구?,Ale są one takie same przyjaciółmi?,Но они же друзья?,Pero son los mismos amigos?
'CiM1',"Ahh, I'd know that mossy brick tile up ahead from anywhere",啊，我知道前面某个地方有块小石砖,"Ahh, je sais que les carreaux de briques moussue en avance partout","Ahh, ich würde wissen, dass bemoosten Ziegelplatte weiter vorne von überall","Ahh, mi piacerebbe sapere che tegola muschio mattone fino a venire da qualsiasi luogo","아, 나는 어디에서 앞서 그 이끼 벽돌 타일을 아는 것","Ahh, ja wiem, że cegły omszały płytki się naprzód z dowolnego miejsca","Ааа, я знаю, что моховой кирпичную плитку впереди из любой точки мира","Ahh, sabría que el azulejo de musgo de ladrillo por delante de cualquier parte"
'CiM2',Brings me right back to my time in 'Nam,让我回到我在越南战争的时光吧,me ramène tout droit à mon temps au Vietnam,Bringt mich gleich wieder zu meiner Zeit in Vietnam,mi porta a destra di nuovo al mio tempo in Vietnam,베트남 내 시간에 바로 날 다시 가져온다,Sprowadza mnie z powrotem do mojego czasu w Wietnamie,Приносит меня обратно в свое время во Вьетнаме,me lleva de vuelta a mi tiempo en Vietnam
'CiM3',Touch it and your world will change,站上去，你的世界将会改变,Touchez et votre monde va changer,Berühren Sie sie und Ihre Welt wird sich ändern,Toccarlo e il tuo mondo cambierà,를 터치하고 세계가 변경됩니다,"Dotknij go, a świat się zmieni","Нажмите на него, и ваш мир изменится",Tocarlo y su mundo cambiará
'CiA1',Pull yourself together soldier!,振作起来，战士们！,Ressaisissez-vous soldat!,Reiß dich zusammen Soldaten!,Fatti coraggio soldato!,군인 함께 자신을 당겨!,Weź się w garść żołnierzu!,Соберись солдат!,Contrólate soldado!
'CiA2',You're a circle now!,你现在变圆了！,Vous êtes un cercle maintenant!,Sie sind ein Kreis jetzt!,Sei un cerchio ora!,이제 원이야!,Jesteś okrąg teraz!,Вы круг прямо сейчас!,Eres un círculo ahora!
'CiA3',"Show some dignity, and use your arrow keys to move",展现出尊严来，用你的方向键移动,"Montrez une certaine dignité, et utilisez les touches fléchées pour se déplacer","Zeigen Sie etwas Würde, und verwenden Sie die Pfeiltasten zu bewegen","Mostra un po 'di dignità, e utilizzare i tasti freccia per spostarsi","약간의 존엄성을 표시하고, 이동하려면 화살표 키를 사용","Okaż trochę godności i użyj strzałek, aby przenieść","Показать некоторые достоинства, а также использовать клавиши со стрелками для перемещения","Muestra un poco de dignidad, y utilizar las teclas de flecha para mover"
